lang
{
Language "English"
Revo_Core0.sp_a2_end_2_16 "<clr:255,200,109>We design entire test chambers around not being able to shoot portals through walls while this thing just bypasses our 3 dimensional plane."
Revo_Core0.sp_a2_end_2_17 "<clr:255,200,109>Anyway, let's recycle that cube. Gotta clean up after ourselves."
Revo_Core0.sp_a2_end_2_20 "<clr:255,200,109>Hate to break it to you but there is one more test we need to pass."
Revo_Core0.sp_a2_end_2_21 "<clr:255,200,109>First comes inanimate, then... animate."
Revo_Core0.sp_a2_end_2_22 "<clr:255,200,109>Please enter the specimen chamber."
Revo_Core0.sp_a2_end_2_30 "<clr:255,200,109>Alright."
Revo_Core0.sp_a2_end_2_31 "<clr:255,200,109>Sorry but to start with the test, you'll have to temporarily resign as a janitor."
Revo_Core0.sp_a2_end_2_32 "<clr:255,200,109>No worries, I'll rehire you after the test, but I need a registered test subject to continue."
Revo_Core0.sp_a2_end_2_33 "<clr:255,200,109>Good. We're almost there."
Revo_Core0.sp_a2_end_2_34 "<clr:255,200,109>Thank you for doing this for us."
Revo_Core0.sp_a2_end_2_35 "<clr:255,200,109>Well, time to put an end to the collapse. Let's rebuild the central core."
Revo_Core0.sp_a2_end_2_36 "<clr:255,200,109>Oh right, you probably know her as GLaDOS? It's about time we bring her back don't you think?"
Revo_Core0.sp_a2_end_2_37 "<clr:255,200,109>That monster spread her parts all over the facility. Even the parking lot! No way in hell I could get her back together without this machine."
Revo_Core0.sp_a2_end_2_40 "<clr:255,200,109>Time to start the test."
Revo_Core0.sp_a2_end_2_41 "<clr:255,200,109>See on you on the other side."
Revo_Core0.sp_a2_end_2_50 "<clr:255,200,109>That's not good. What are you doing in there?"
Revo_Core0.sp_a2_end_2_51 "<clr:255,200,109>Get out of there!"
Revo_Core0.sp_a2_end_2_52 "<clr:255,200,109>I can't turn it off!"
Revo_Core0.sp_a2_end_2_52_2 "<clr:255,200,109>I can't turn it off!"
Revo_Core0.sp_a2_end_2_60 "<clr:255,200,109>Good you're back, thought I lost you. I can fix this, I know I can, just give me a second."
Revo_Core0.sp_a2_end_2_70 "<clr:255,200,109>It actually worked, I almost fixed it! I'll try to get you out of this phase-shift loop. Gotta be quick about this before you leave again. Get ready."

Revo_Core1.sp_a3_intro_00 "<clr:255,255,255>Welcome to the Aperture Science Enrichment Center!"
Revo_Core1.sp_a3_intro_01 "<clr:255,255,255>How was that?"
Revo_Core1.sp_a3_intro_02 "<clr:255,255,255>Okay, good."
Revo_Core1.sp_a3_intro_03 "<clr:255,255,255>The fact you're standing here tells me that you want to help us revolutionize the world just like we have for over 30 years."
Revo_Core1.sp_a3_intro_04 "<clr:255,255,255>Wrong draft? This one?"
Revo_Core1.sp_a3_intro_05 "<clr:255,255,255>[Muffled voices]"
Revo_Core1.sp_a3_intro_06 "<clr:255,255,255>Lunch at 10? Wait where are you going, Are we not finishing my part?"

Revo_Core1.sp_a3_vactube_intro_00 "<clr:255,255,255>Oh we're rolling? Okay."
Revo_Core1.sp_a3_vactube_intro_01 "<clr:255,255,255>Alright, we're trying something different with this test."
Revo_Core1.sp_a3_vactube_intro_02 "<clr:255,255,255>If you've worked in device development you'll know what this is already, but if you don't, that will actually give us better data so just have fun with it."
Revo_Core1.sp_a3_vactube_intro_03 "<clr:255,255,255>It shouldn't be able to hurt you."
Revo_Core1.sp_a3_vactube_intro_10 "<clr:255,255,255>To remind everybody who didn't read the introductory guide book about pneumatic diversity vents:"
Revo_Core1.sp_a3_vactube_intro_11 "<clr:255,255,255>All pneumatic diversity vents in test chambers have been calibrated to a maximum capacity of 60kg to prevent most humans from being sucked up and disposed of."
Revo_Core1.sp_a3_vactube_intro_12 "<clr:255,255,255>If your body mass happens to be under 60kg, extra caution is advised."
Revo_Core1.sp_a3_vactube_intro_20 "<clr:255,255,255>Well done!"
Revo_Core1.sp_a3_vactube_intro_21 "<clr:255,255,255>As a heads up, the following test chambers may not contain pre-recorded messages like these, in order to measure, how test subjects behave in environments lacking human contact."
Revo_Core1.sp_a3_vactube_intro_22 "<clr:255,255,255>Good luck!"

Revo_Core1.sp_a3_labs_00 "<clr:105,154,192>We done?"
Revo_Core1.sp_a3_labs_01 "<clr:105,154,192>Wha-? AAH!"
Revo_Core1.sp_a3_labs_02 "<clr:105,154,192>Hey what's happening here? Where am I?"
Revo_Core1.sp_a3_labs_03 "<clr:105,154,192>What the, who are you?"
Revo_Core1.sp_a3_labs_04 "<clr:105,154,192>Oh no no no no no"
Revo_Core1.sp_a3_labs_05 "<clr:105,154,192>What's going on here? Where are my hands?"
Revo_Core1.sp_a3_labs_06 "<clr:105,154,192>Am I? No this can't be possible. Can it?"
Revo_Core1.sp_a3_labs_07 "<clr:105,154,192><I>[Deep sigh]<I>"
Revo_Core1.sp_a3_labs_08 "<clr:105,154,192>Okay, let's do this properly. Sorry for my freakout"
Revo_Core1.sp_a3_labs_09 "<clr:105,154,192>I will explain what just happened but let's get out of here first."
Revo_Core1.sp_a3_labs_10 "<clr:105,154,192>Can you pick me up?"
Revo_Core1.sp_a3_labs_20 "<clr:105,154,192>Thanks."
Revo_Core1.sp_a3_labs_21 "<clr:105,154,192>By the way, where is everybody? Is the office closed? And what is a test subject doing here anyway?"
Revo_Core1.sp_a3_labs_22 "<clr:105,154,192>There's a hub not far from here. Let's go there."
Revo_Core1.sp_a3_labs_30 "<clr:105,154,192>That's really dark. Lightswitch anywhere?"
Revo_Core1.sp_a3_labs_31 "<clr:105,154,192>I mean we don't have to go through there do we? I completely understand that you would rather want to find another way if you're scared of the dark. No shame in that."
Revo_Core1.sp_a3_labs_32 "<clr:105,154,192>I don't mind, no no no why would I be afraid of the dark?"
Revo_Core1.sp_a3_labs_33 "<clr:105,154,192>It's just the absence of light, right? What reason would anyone have to develop a phobia for it?"
Revo_Core1.sp_a3_labs_34 "<clr:105,154,192>Can't find another way though, hmm?"
Revo_Core1.sp_a3_labs_35 "<clr:105,154,192>I may have an idea. Let me try something."
Revo_Core1.sp_a3_labs_36 "<clr:105,154,192>Woah it worked. That's crazy!"
Revo_Core1.sp_a3_labs_37 "<clr:105,154,192>I still don't like this plan but here we go."
Revo_Core1.sp_a3_labs_38 "<clr:105,154,192>They're just shadows... Only shadows..."
Revo_Core1.sp_a3_labs_39 "<clr:105,154,192>Wandering through the office after working hours with a stranger and nothing more than a flashlight..."
Revo_Core1.sp_a3_labs_40 "<clr:105,154,192>Listen, I'm sorry for-"
Revo_Core1.sp_a3_labs_41 "<clr:105,154,192>OH! I'm so sorry. My bad, I didn't mean to overexpose your eyes."
Revo_Core1.sp_a3_labs_50 "<clr:105,154,192>Okay! Wait, what happened here?"
Revo_Core1.sp_a3_labs_52 "<clr:105,154,192>Look out the window please!"
Revo_Core1.sp_a3_labs_53 "<clr:105,154,192>Alright, trying not to panic again. Can you tell me what year it is?"
Revo_Core1.sp_a3_labs_54 "<clr:105,154,192>Oh you don't know either? Guess we're in the same boat then."
Revo_Core1.sp_a3_labs_55 "<clr:105,154,192>Let's try to get this door open. Stick me on that plug in the wall, I'll see what I can do."
Revo_Core1.sp_a3_labs_55_woo "<clr:105,154,192>Woo!"
Revo_Core1.sp_a3_labs_56 "<clr:105,154,192>Got it."
Revo_Core1.sp_a3_labs_57 "<clr:105,154,192>Don't forget me please."
Revo_Core1.sp_a3_labs_58 "<clr:105,154,192>None of this used to be here."
Revo_Core1.sp_a3_labs_59 "<clr:105,154,192>How long was I out for? It must have been decades!"
Revo_Core1.sp_a3_labs_60 "<clr:105,154,192>I don't really know where we're going now. Let's try to find a management rail, then I can access the whole network."
Revo_Core1.sp_a3_labs_61 "<clr:105,154,192>Elevator, sure. What's the worst that can await us up there?"
Revo_Core1.sp_a3_labs_62 "<clr:105,154,192>Actually, you don't want to know."

Revo_Core1.sp_a3_vactube_lumber_00 "<clr:105,154,192>Can I ask you something real quick? What portal device model is that? Doesn't look like any of the ones I've seen before."
Revo_Core1.sp_a3_vactube_lumber_01 "<clr:105,154,192>Looks cool though. Design team did a good job. Engineering too. Very slim fit."
Revo_Core1.sp_a3_vactube_lumber_02 "<clr:105,154,192>Oh! A rail! We found one!"
Revo_Core1.sp_a3_vactube_lumber_03 "<clr:105,154,192>Woaah! Feels weird. This will take some getting used to."
Revo_Core1.sp_a3_vactube_lumber_04 "<clr:105,154,192>Thank you, test subject."
Revo_Core1.sp_a3_vactube_lumber_05 "<clr:105,154,192>I hope I don't intrude if I join you for a bit, while I try to get a sense of what happened to me, the facility and you."
Revo_Core1.sp_a3_vactube_lumber_10 "<clr:105,154,192>So, again I'm sorry for my erratic introduction. I'm Emilia Conly and I work in Aperture's research group for artificial intelligence."
Revo_Core1.sp_a3_vactube_lumber_11 "<clr:105,154,192>Well, I did. Until now."
Revo_Core1.sp_a3_vactube_lumber_12 "<clr:105,154,192>See, my main contributions were in the field of brain scanning and it seems like one of my old scans just got loaded into this robot."
Revo_Core1.sp_a3_vactube_lumber_13 "<clr:105,154,192>I knew the risks of this happening. We enforced strict backup-removal routines so we wouldn't accidentally clone our minds, but here we are."
Revo_Core1.sp_a3_vactube_lumber_20 "<clr:105,154,192>Really struggling to hold back the panic now!"
Revo_Core1.sp_a3_vactube_lumber_21 "<clr:105,154,192>I read the records of what happened while I was out."
Revo_Core1.sp_a3_vactube_lumber_22 "<clr:105,154,192>Everyone is dead. All of them!"
Revo_Core1.sp_a3_vactube_lumber_23 "<clr:105,154,192>And it's my fault!"
Revo_Core1.sp_a3_vactube_lumber_24 "<clr:105,154,192>See, I worked on her. I created the Genetic Lifeform and Disc Operating System just like Cave wanted."
Revo_Core1.sp_a3_vactube_lumber_25 "<clr:105,154,192>Well, my human self did. I have no memory of this, but the records are clear."
Revo_Core1.sp_a3_vactube_lumber_26 "<clr:105,154,192>Caroline never consented to be scanned in, but somehow they must have found a way around that."
Revo_Core1.sp_a3_vactube_lumber_27 "<clr:105,154,192>I need to process this for a bit and figure out what to do now. See you in a bit."

Revo_Core1.sp_a3_lake_00 "<clr:105,154,192>Hello! I'm back."
Revo_Core1.sp_a3_lake_01 "<clr:105,154,192>I know, it's not been long, just wanted to be polite."
Revo_Core1.sp_a3_lake_02 "<clr:105,154,192>Just remembered that I never asked what you're doing here."
Revo_Core1.sp_a3_lake_03 "<clr:105,154,192>Let's just try to get out of here. This isn't a good place to be around any more."
Revo_Core1.sp_a3_lake_10 "<clr:105,154,192>Dark again. Let me light this up for you."
Revo_Core1.sp_a3_lake_11 "<clr:105,154,192>What was-? I swear these earthquakes aren't normal here. What is that?"
Revo_Core1.sp_a3_lake_12 "<clr:105,154,192>Be there in a moment."
Revo_Core1.sp_a3_lake_20 "<clr:105,154,192>Have not been here in a while! Wow, this hasn't changed a bit."
Revo_Core1.sp_a3_lake_21 "<clr:105,154,192>Ah yes, the boring presentation room."
Revo_Core1.sp_a3_lake_22 "<clr:105,154,192>For some reason, the presentation rooms were assigned special roles."
Revo_Core1.sp_a3_lake_23 "<clr:105,154,192>This is the boring one where only really uninteresting topics get presented."
Revo_Core1.sp_a3_lake_24 "<clr:105,154,192>I worked next to the 'presentation room of danger'. Well, that's its nickname. What they pitch there is shocking at first, but it didn't take long for me to get numb to it."
Revo_Core1.sp_a3_lake_30 "<clr:105,154,192>Mannequins?"
Revo_Core1.sp_a3_lake_31 "<clr:105,154,192>Hmm interesting. You reckon I could find a humanoid android body somewhere around here? Forgot what it feels like to have hands."
Revo_Core1.sp_a3_lake_40 "<clr:105,154,192>Light! Finally!"
Revo_Core1.sp_a3_lake_41 "<clr:105,154,192>Can't stop thinking about the android body. I wonder if they finished developing those?"
Revo_Core1.sp_a3_lake_50 "<clr:105,154,192>Woah!"
Revo_Core1.sp_a3_lake_51 "<clr:105,154,192>Watch out!"
Revo_Core1.sp_a3_lake_52 "<clr:105,154,192>What was-? Did you see that?"
Revo_Core1.sp_a3_lake_53 "<clr:105,154,192>Better move upwards before that happens again."
Revo_Core1.sp_a3_lake_54 "<clr:105,154,192>Wait, is that the-? No it can't be. Looked like it was absorbing electrical energy?"
Revo_Core1.sp_a3_lake_60 "<clr:105,154,192>Oh no. I believe this might be an old, dangerous teleportation experiment."
Revo_Core1.sp_a3_lake_61 "<clr:105,154,192>And it's about to blow. Get off there!"
Revo_Core1.sp_a3_lake_62 "<clr:105,154,192>WOAH! That was close!"
Revo_Core1.sp_a3_lake_63 "<clr:105,154,192>Okay, new objective..."
Revo_Core1.sp_a3_lake_64 "<clr:105,154,192>We need to destroy this thing."
Revo_Core1.sp_a3_lake_65 "<clr:105,154,192>Here, we've got ourselves the [Clears Throat] APERTURE SCIENCE NONLOCAL MATTER DISPLACEMENT DEVICE. [Chuckles] Quite a mouthful, I know. Our team affectionately dubbed it “the Spire.” Adds a bit of pizzazz to it, right?"
Revo_Core1.sp_a3_lake_66 "<clr:105,154,192>It was developed as a successor to the Borealis experiments from the 70s, but I've never seen it with my own eyes."
Revo_Core1.sp_a3_lake_67 "<clr:105,154,192>Well, I've still not seen it with my eyes, unless digital cameras count."
Revo_Core1.sp_a3_lake_68 "<clr:105,154,192>We better get going. Let's find a way up to the surface. That's where we'll find the control room."
Revo_Core1.sp_a3_lake_70 "<clr:105,154,192>This will sound stupid so just bear with me."
Revo_Core1.sp_a3_lake_71 "<clr:105,154,192>Garbage-disposal tubes generate much more force than the ones in test chambers. Should be able to carry you."
Revo_Core1.sp_a3_lake_72 "<clr:105,154,192>If you jump into this tube, I will route you to the upper layers of the facility."
Revo_Core1.sp_a3_lake_73 "<clr:105,154,192>Yeah let's try that!"
Revo_Core1.sp_a3_lake_74 "<clr:105,154,192>Maybe hold your breath."
Revo_Core1.sp_a3_lake_walla_00 "<clr:105,154,192>No hands, only handles."
Revo_Core1.sp_a3_lake_walla_01 "<clr:105,154,192>Hm-hm, hm hm hm-hm hm.... Hm, hm-hm... Hm, hm-hm... Hm-hm, hm hm hm-hm hm...."

Revo_Core1.sp_a3_vactube_cuberemove_00 "<clr:105,154,192>This is as far as I can get you."
Revo_Core1.sp_a3_vactube_cuberemove_01 "<clr:105,154,192>Damnit that's barely halfway!"
Revo_Core1.sp_a3_vactube_cuberemove_02 "<clr:105,154,192>Well... looks like we have to go the long way. Sorry..."
Revo_Core1.sp_a3_vactube_cuberemove_03 "<clr:105,154,192>I'm going to research this Spire thing while you solve the chambers."
Revo_Core1.sp_a3_vactube_cuberemove_10 "<clr:105,154,192>I found some internal documents for the Spire... Which is 20 MEGABYTES large!"
Revo_Core1.sp_a3_vactube_cuberemove_11 "<clr:105,154,192>How did they figure out to fit all that on a single drive?"

Revo_Core1.sp_a3_vactube_pipes_00 "<clr:105,154,192>I read up on the spire."
Revo_Core1.sp_a3_vactube_pipes_01 "<clr:105,154,192>One thing that puzzles me. How did it get activated?"
Revo_Core1.sp_a3_vactube_pipes_02 "<clr:105,154,192>It's been dormant for decades and suddenly it just kicks itself into action?"
Revo_Core1.sp_a3_vactube_pipes_03 "<clr:105,154,192>Whoever it was must have really upset it."
Revo_Core1.sp_a3_vactube_pipes_10 "<clr:105,154,192>There it was again. Did you see?"
Revo_Core1.sp_a3_vactube_pipes_11 "<clr:105,154,192>The spire is stealing resources from down here as part of its power up sequence."
Revo_Core1.sp_a3_vactube_pipes_12 "<clr:105,154,192>I don't think it presents an immediate threat to us, but..."
Revo_Core1.sp_a3_vactube_pipes_13 "<clr:105,154,192>Something just feels off."
Revo_Core1.sp_a3_vactube_pipes_14 "<clr:105,154,192>Aperture likes to poke around at anything, no matter how dangerous it is."
Revo_Core1.sp_a3_vactube_pipes_15 "<clr:105,154,192>The fact they discontinued this experiment doesn't really fill me with emotions I would categorize as “positive”."

Revo_Core1.sp_a3_vactube_gelbending_00 "<clr:105,154,192>Did you know that Aperture simulates breathing and blinking in its sentient robots?"
Revo_Core1.sp_a3_vactube_gelbending_01 "<clr:105,154,192>I still have a sort of subconscious reflex to breathe and blink my eye, even though that's not technically necessary."
Revo_Core1.sp_a3_vactube_gelbending_02 "<clr:105,154,192>Turns out the human mind doesn't cope well when those functions are removed."
Revo_Core1.sp_a3_vactube_gelbending_03 "<clr:105,154,192>Be glad you didn't volunteer for our early mind mapping tests. Those were not good times to be a test subject."
Revo_Core1.sp_a3_vactube_gelbending_10 "<clr:105,154,192>So, to recap: GLaDOS killed all humans and then got killed herself by a test subject."
Revo_Core1.sp_a3_vactube_gelbending_11 "<clr:105,154,192>And what happened since? Why is there nobody here?"
Revo_Core1.sp_a3_vactube_gelbending_12 "<clr:105,154,192>Did nobody come to investigate this place?"
Revo_Core1.sp_a3_vactube_gelbending_13 "<clr:105,154,192>Forget about the government. Why does Black Mesa have no interest in what happened here?"
Revo_Core1.sp_a3_vactube_gelbending_20 "<clr:105,154,192>No. Turn it off!"
Revo_Core1.sp_a3_vactube_gelbending_21 "<clr:105,154,192>I thought they threw those lines away!"
Revo_Core1.sp_a3_vactube_gelbending_22 "<clr:105,154,192>Why is it so loud?"
Revo_Core1.sp_a3_vactube_gelbending_23 "<clr:105,154,192>Turn it off! Turn it off!"
Revo_Core1.sp_a3_vactube_gelbending_24 "<clr:105,154,192>Turn. It. Off."
Revo_Core1.sp_a3_vactube_gelbending_40 "<clr:255,255,255>INTERN CONLY: Well done test subject!"
Revo_Core1.sp_a3_vactube_gelbending_41 "<clr:255,255,255>INTERN CONLY: You have just completed another test. Congratulations on contributing once again to the future of science."
Revo_Core1.sp_a3_vactube_gelbending_42 "<clr:255,255,255>INTERN CONLY: Feel welcome to pause at any moment. There's cake and beverages in the break room."

Revo_Core1.sp_a3_climb_00 "<clr:105,154,192>Looks like I turned myself off."
Revo_Core1.sp_a3_climb_01 "<clr:105,154,192>Yeah, I dabbled in voice acting when I first joined the company as an intern."
Revo_Core1.sp_a3_climb_02 "<clr:105,154,192>That was so long ago..."
Revo_Core1.sp_a3_climb_03 "<clr:105,154,192>Please, just forget everything you heard down there."
Revo_Core1.sp_a3_climb_10 "<clr:105,154,192>I don't know if this is supposed to be a test chamber."
Revo_Core1.sp_a3_climb_11 "<clr:105,154,192>If it is, our chamber budget has officially hit a new low."
Revo_Core1.sp_a3_climb_20 "<clr:105,154,192>Turns out that wasn't a chamber."
Revo_Core1.sp_a3_climb_21 "<clr:105,154,192>At least it gave me time to disable the speakers in the next chambers."
Revo_Core1.sp_a3_climb_22 "<clr:105,154,192>We don't need to listen to that again..."

Revo_Core1.sp_a3_vactube_flings_00 "<clr:105,154,192>That looks more like a chamber."
Revo_Core1.sp_a3_vactube_flings_01 "<clr:105,154,192>You know what? I actually remember this one!"
Revo_Core1.sp_a3_vactube_flings_02 "<clr:105,154,192>It collected some dust, but looks pretty much unchanged."
Revo_Core1.sp_a3_vactube_flings_03 "<clr:105,154,192>Most of our tests get updated when we find a critical design flaw."
Revo_Core1.sp_a3_vactube_flings_04 "<clr:105,154,192>Seems like this one survived the test of time."
Revo_Core1.sp_a3_vactube_flings_10 "<clr:105,154,192>Good news! I found us an elevator out of here! Just one more chamber."

Revo_Core1.sp_a3_vactube_hanging_00 "<clr:105,154,192>So, last chamber. The surface elevator is right after!"
Revo_Core1.sp_a3_vactube_hanging_01 "<clr:105,154,192>Just don't look down, or fall down either! That shaft goes all the way to the bottom."
Revo_Core1.sp_a3_vactube_hanging_02_woah "<clr:105,154,192>Woooah!"
Revo_Core1.sp_a3_vactube_hanging_02_ahh "<clr:105,154,192>ARRHH!"
Revo_Core1.sp_a3_vactube_hanging_03 "<clr:105,154,192>Don't!  Don't do that again..."
Revo_Core1.sp_a3_vactube_hanging_04 "<clr:105,154,192>For my sake, please! You're gonna give me a heart attack..."
Revo_Core1.sp_a3_vactube_hanging_10 "<clr:105,154,192>Hey hey! I need you to carry me up the elevator. We've done this before, so be ready to catch me."
Revo_Core1.sp_a3_vactube_hanging_11 "<clr:105,154,192>We're becoming quite good at this!"
Revo_Core1.sp_a3_vactube_hanging_12 "<clr:105,154,192>You're the one carrying me along, I'm the navigator telling you where to go."
Revo_Core1.sp_a3_vactube_hanging_13 "<clr:105,154,192>Elevator is right through here."
Revo_Core1.sp_a3_vactube_hanging_14 "<clr:105,154,192>Quite cozy. I'm sure we can stuff ourselves in there!"
Revo_Core1.sp_a3_vactube_hanging_15 "<clr:105,154,192>Never thought I'd miss the car park... We're almost out of here!"


Revo_Core1.sp_a4_intro_00 "<clr:105,154,192>Uhm.. That's not the surface. Is the elevator stuck?"
Revo_Core1.sp_a4_intro_01 "<clr:105,154,192>Woah what happend here?"
Revo_Core0.sp_a4_intro_00 "<clr:255,200,109>Oh I found you!"
Revo_Core1.sp_a4_intro_02 "<clr:105,154,192>Who is that now?"
Revo_Core0.sp_a4_intro_01 "<clr:255,200,109>I was quite worried where that teleport could have left you."
Revo_Core0.sp_a4_intro_02 "<clr:255,200,109>At least you didn't suffocate in a wall, so that's good."
Revo_Core0.sp_a4_intro_03 "<clr:255,200,109>Tell you what. Why don't you come back and join me here in the spire? Charging up the teleporter as we speak to continue our mission you so rudely interrupted."
Revo_Core1.sp_a4_intro_04 "<clr:105,154,192>Wait what mission?"
Revo_Core0.sp_a4_intro_06 "<clr:255,200,109>Oh who is your little sidekick? Cute."
Revo_Core0.sp_a4_intro_07 "<clr:255,200,109>You can join us if you want!"
Revo_Core1.sp_a4_intro_05 "<clr:105,154,192>Join you with what?"
Revo_Core0.sp_a4_intro_08 "<clr:255,200,109>Oh we just want to repair the facility."
Revo_Core0.sp_a4_intro_08_2 "<clr:255,200,109>Oh we just want to repair the facility."
Revo_Core0.sp_a4_intro_08_3 "<clr:255,200,109>Oh we just want to repair the facility."
Revo_Core0.sp_a4_intro_09 "<clr:255,200,109>I will pick up the remains of our former central core, reassemble her and bring her back to life."
Revo_Core1.sp_a4_intro_06 "<clr:105,154,192>Wait who are we talking about? Are you talking about GLaDOS?"
Revo_Core1.sp_a4_intro_07 "<clr:105,154,192>You want to bring back GLaDOS?"
Revo_Core0.sp_a4_intro_10 "<clr:255,200,109>That's what the humans call her, yes."
Revo_Core1.sp_a4_intro_10 "<clr:105,154,192>Woah!"
Revo_Core1.sp_a4_intro_11 "<clr:105,154,192>And that is why you gotta switch your capacitors!"

Revo_Core1.sp_a4_intro_20 "<clr:105,154,192>So that's the sort of guys you normally hang out with?"
Revo_Core1.sp_a4_intro_21 "<clr:105,154,192>Did you work with him?"
Revo_Core1.sp_a4_intro_23 "<clr:105,154,192>I can't watch, tell me when you're over."
Revo_Core1.sp_a4_intro_24 "<clr:105,154,192>OH! I shouldn't have looked!"
Revo_Core1.sp_a4_intro_25 "<clr:105,154,192>Solid ground at last!"
Revo_Core1.sp_a4_intro_26 "<clr:105,154,192>Right so you're who activated the spire.. I.. I should have seen that coming."
Revo_Core1.sp_a4_intro_30 "<clr:105,154,192>Put me on the rail over there. I'll open the door for you."

Revo_Core1.sp_a4_schrodinger_intro_00 "<clr:105,154,192>Is he really trying to bring back GLaDOS?"
Revo_Core1.sp_a4_schrodinger_intro_01 "<clr:105,154,192>He's right about one thing though."
Revo_Core1.sp_a4_schrodinger_intro_02 "<clr:105,154,192>The facility is already barely holding together and that won't change unless we put someone in charge of the central core."
Revo_Core1.sp_a4_schrodinger_intro_03 "<clr:105,154,192>But why her? Why doesn't he just take the crown for himself?"
Revo_Core1.sp_a4_schrodinger_intro_10 "<clr:105,154,192>I don't blame you for helping him..."
Revo_Core1.sp_a4_schrodinger_intro_11 "<clr:105,154,192>You didn't see what she did."
Revo_Core1.sp_a4_schrodinger_intro_12 "<clr:105,154,192>I mean neither did I... but the records are disturbing."
Revo_Core1.sp_a4_schrodinger_intro_13 "<clr:105,154,192>Took her less than a second to seal the fate of every human in the Enrichment Center."
Revo_Core1.sp_a4_schrodinger_intro_14 "<clr:105,154,192>I'll never understand why we gave her that neurotoxin."
Revo_Core1.sp_a4_schrodinger_intro_20 "<clr:105,154,192>I just.."
Revo_Core1.sp_a4_schrodinger_intro_21 "<clr:105,154,192>I just wish I could go back, you know?"
Revo_Core1.sp_a4_schrodinger_intro_22 "<clr:105,154,192>And amend both mistakes."
Revo_Core1.sp_a4_schrodinger_intro_30 "<clr:105,154,192>We might not see each other in the next test chamber."
Revo_Core1.sp_a4_schrodinger_intro_31 "<clr:105,154,192>Whatever he says or has already said to you."
Revo_Core1.sp_a4_schrodinger_intro_32 "<clr:105,154,192>We CAN NOT allow GLaDOS to return."

Revo_Core0.sp_a4_schrodinger_vertical_00 "<clr:255,200,109>Having some trouble getting a signal through here. This machine is causing a lot of interference."
Revo_Core0.sp_a4_schrodinger_vertical_01 "<clr:255,200,109>Is your little friend not going to join us?"
Revo_Core0.sp_a4_schrodinger_vertical_02 "<clr:255,200,109>Oh well, this only regards you anyways."
Revo_Core0.sp_a4_schrodinger_vertical_03 "<clr:255,200,109>I just want to say thank you for bringing us this far. Really, I mean it, no one else could have pressed that button as well as you."
Revo_Core0.sp_a4_schrodinger_vertical_10 "<clr:255,200,109>Before you say anything. I am going to accept your implicit apology for breaking the teleporter."
Revo_Core0.sp_a4_schrodinger_vertical_11 "<clr:255,200,109>Your portal device really caused a lot of havoc there."
Revo_Core0.sp_a4_schrodinger_vertical_12 "<clr:255,200,109>Don't worry, I'm not going to add the repairs to your list. I already got that covered."

Revo_Core0.sp_a4_schrodinger_flings_00 "<clr:255,200,109>Hey I've got a question."
Revo_Core0.sp_a4_schrodinger_flings_01 "<clr:255,200,109>Your new little blue friend."
Revo_Core0.sp_a4_schrodinger_flings_02 "<clr:255,200,109>Who is she? The voice seems familiar..."
Revo_Core0.sp_a4_schrodinger_flings_03 "<clr:255,200,109>Oh right, you can't respond."
Revo_Core0.sp_a4_schrodinger_flings_04 "<clr:255,200,109>Maybe you can introduce me to her when you come back?"
Revo_Core0.sp_a4_schrodinger_flings_05 "<clr:255,200,109>Somehow I feel like I know her..."
Revo_Core0.sp_a4_schrodinger_flings_10 "<clr:255,200,109>I'm still charging the teleporter."
Revo_Core0.sp_a4_schrodinger_flings_11 "<clr:255,200,109>Your little accident used up all the teleportation juice."
Revo_Core0.sp_a4_schrodinger_flings_12 "<clr:255,200,109>It's an actual liquid by the way."
Revo_Core0.sp_a4_schrodinger_flings_13 "<clr:255,200,109>Had to scramble together every last drop of gel from the bottom layers of the enrichment center to mix some new fluid."

Revo_Core1.sp_a4_schrodinger_final_00 "<clr:105,154,192>Finally found you again! I have got some news."
Revo_Core1.sp_a4_schrodinger_final_01 "<clr:105,154,192>He wants to use the unstable spire teleporter to put together GLaDOS, right?"
Revo_Core1.sp_a4_schrodinger_final_02 "<clr:105,154,192>If we can go into the control room and cut power from the core, we have a real chance of preventing a catastrophic meltdown."
Revo_Core1.sp_a4_schrodinger_final_10 "<clr:105,154,192>Let's meet after this elevator. "
Revo_Core1.sp_a4_schrodinger_final_11 "<clr:105,154,192>I'll prepare an escape route for you that will take us straight to the spire."
Revo_Core1.sp_a4_schrodinger_final_12 "<clr:105,154,192>Meet you there!"

Revo_Core1.sp_a4_transition_can_you_hear_me                 "<clr:105,154,192>[Whispering] <I>Can you hear me?<I>"
Revo_Core1.sp_a4_transition_helloooo                        "<clr:105,154,192>[Whispering] <I>Hello?<I>"
Revo_Core1.sp_a4_transition_hey                             "<clr:105,154,192>[Whispering] <I>Hey!<I>"
Revo_Core1.sp_a4_transition_just_do_it                      "<clr:105,154,192>[Whispering] <I>If you're gonna do it, just... Do it...<I>"
Revo_Core1.sp_a4_transition_over_here                       "<clr:105,154,192>[Whispering] <I>Over here!<I>"
Revo_Core1.sp_a4_transition_pit                             "<clr:105,154,192>[Whispering] <I>I mean, if you're gonna give up... The pit is like... right there... Just... go around...<I>"
Revo_Core1.sp_a4_transition_psssst                          "<clr:105,154,192><I>Pssst!<I>"
Revo_Core1.sp_a4_transition_seriously                       "<clr:105,154,192>Seriously?"
